Order ID,Invoice ID,Shipment Date,Invoice Date,VAT ID,ASIN,SKU,Item Title,Quantity,Item Cost,Tax Rate,Warehouse Code,Status
DrRN7gk6C,DrRN7gk6C,26 May 2026  1:16:01 AM GMT,26 May 2026  1:16:01 AM GMT,61005625025,B0B62TTYSM,106VREF,Euca Laundry Powder 10KG EcoBox – Concentrated Plant-Based Laundry Powder  Pure Eucalyptus  Powerful Stain Removal  Front & Top Loader  500 Washes  Australian Made,2,$86.32,10%,HDWB,PAID
DjGDFRmlC,DjGDFRmlC,26 May 2026  1:16:01 AM GMT,26 May 2026  1:16:01 AM GMT,61005625025,B0G3XD8ZTN,380XREF,Euca DishWash Powder 8KG EcoBox - Peppermint Powered - Added Rinse Aid - Australian Made - Concentrated 400 WASHES,1,$39.50,10%,HDWB,PAID
DjtsXzkGC,DjtsXzkGC,26 May 2026  1:16:01 AM GMT,26 May 2026  1:16:01 AM GMT,61005625025,B0B62TTYSM,106VREF,Euca Laundry Powder 10KG EcoBox – Concentrated Plant-Based Laundry Powder  Pure Eucalyptus  Powerful Stain Removal  Front & Top Loader  500 Washes  Australian Made,1,$43.16,10%,HDWB,PAID
DjtsXzkGC,DjtsXzkGC,26 May 2026  1:16:01 AM GMT,26 May 2026  1:16:01 AM GMT,61005625025,B0B61D6Z2J,614C,Euca All Purpose Disinfectant Cleaner 500ml - Kills 99.9% of Germs and Eliminates Odors - Eucalyptus Powered Disinfectant of Viruses and Bacteria  Bleach-Free,1,$4.18,10%,HDWB,PAID
DjtsXzkGC,DjtsXzkGC,26 May 2026  1:16:01 AM GMT,26 May 2026  1:16:01 AM GMT,61005625025,B0B61G851C,380F2R,Euca DishWash Powder 2KG EcoBox - Peppermint Powered - Added Rinse Aid - Australian Made - Concentrated 100 WASHES,1,$11.80,10%,HDWB,PAID
DLx9jZkbC,DLx9jZkbC,26 May 2026  1:16:01 AM GMT,26 May 2026  1:16:01 AM GMT,61005625025,B0B62TTYSM,106VREF,Euca Laundry Powder 10KG EcoBox – Concentrated Plant-Based Laundry Powder  Pure Eucalyptus  Powerful Stain Removal  Front & Top Loader  500 Washes  Australian Made,1,$43.16,10%,HDWB,PAID
D2kJkDmyC,D2kJkDmyC,26 May 2026  1:16:01 AM GMT,26 May 2026  1:16:01 AM GMT,61005625025,B0B62TTYSM,106VREF,Euca Laundry Powder 10KG EcoBox – Concentrated Plant-Based Laundry Powder  Pure Eucalyptus  Powerful Stain Removal  Front & Top Loader  500 Washes  Australian Made,2,$86.32,10%,HDWB,PAID
DrLsQ2mFC,DrLsQ2mFC,26 May 2026  1:16:01 AM GMT,26 May 2026  1:16:01 AM GMT,61005625025,B07KG1GXLR,543N5,Euca Dish Washing Liquid 5L – Concentrated Plant-Based Dish Soap Bulk Refill  Natural Eucalyptus Oil Grease Cutter  Sensitive Skin Safe  Australian Made,1,$16.27,10%,HDWB,PAID
Dr3hmxkCC,Dr3hmxkCC,26 May 2026  1:16:01 AM GMT,26 May 2026  1:16:01 AM GMT,61005625025,B0B9C77XMT,603C,Eucalyptus Odour Remover Spray 500ml – Natural Deodoriser for Home  Bathroom & Pet Smells – EUCA Smell Expell,2,$8.26,10%,HDWB,PAID
DYd1QsmxC,DYd1QsmxC,26 May 2026  1:16:01 AM GMT,26 May 2026  1:16:01 AM GMT,61005625025,B0FQPM3MNN,541N5,Euca Glass & Surface Cleaner 5L – Streak-Free Window & Mirror Cleaner  Anti-Static Finish  Multi Surface Cleaning Solution  Bulk Refill  Commercial & Home Use  Australian Made,1,$11.14,10%,HDWB,PAID
D2Yx5tkPC,D2Yx5tkPC,26 May 2026  1:16:01 AM GMT,26 May 2026  1:16:01 AM GMT,61005625025,B0FQP898JB,544N5,Euca Smell Expell Herbal Heavy Duty Odour Eliminator - 5 Litre  Commercial Grade Natural Deodoriser & Disinfectant Cleaner  High-Concentrate  Herbal  For Pets  Drains  Bins & Floors,1,$16.42,10%,HDWB,PAID
DKyCjtj3C,DKyCjtj3C,25 May 2026  12:14:38 AM GMT,25 May 2026  12:14:38 AM GMT,61005625025,B0FQP6ZWFT,106VFFT,Euca Laundry Powder 12KG - Eucalyptus - Australian Made - VALUE SIZE,1,$56.50,10%,HDWB,PAID
DYCbj6jSC,DYCbj6jSC,25 May 2026  12:13:36 AM GMT,25 May 2026  12:13:36 AM GMT,61005625025,B0B9C77XMT,603C,Eucalyptus Odour Remover Spray 500ml – Natural Deodoriser for Home  Bathroom & Pet Smells – EUCA Smell Expell,1,$4.13,10%,HDWB,PAID
D2KcW1j7C,D2KcW1j7C,25 May 2026  12:13:34 AM GMT,25 May 2026  12:13:34 AM GMT,61005625025,B0FQP6ZWFT,106VFFT,Euca Laundry Powder 12KG - Eucalyptus - Australian Made - VALUE SIZE,1,$56.50,10%,HDWB,PAID
DFK0W1j7C,DFK0W1j7C,25 May 2026  12:13:33 AM GMT,25 May 2026  12:13:33 AM GMT,61005625025,B0FQP6ZWFT,106VFFT,Euca Laundry Powder 12KG - Eucalyptus - Australian Made - VALUE SIZE,1,$56.50,10%,HDWB,PAID
DpKHWjj7C,DpKHWjj7C,25 May 2026  12:13:31 AM GMT,25 May 2026  12:13:31 AM GMT,61005625025,B0FQP6ZWFT,106VFFT,Euca Laundry Powder 12KG - Eucalyptus - Australian Made - VALUE SIZE,1,$56.50,10%,HDWB,PAID
DTKfW7j7C,DTKfW7j7C,25 May 2026  12:13:30 AM GMT,25 May 2026  12:13:30 AM GMT,61005625025,B0FQP6ZWFT,106VFFT,Euca Laundry Powder 12KG - Eucalyptus - Australian Made - VALUE SIZE,1,$56.50,10%,HDWB,PAID
D8cY0LjMC,D8cY0LjMC,25 May 2026  12:13:27 AM GMT,25 May 2026  12:13:27 AM GMT,61005625025,B0B62TTYSM,106VREF,Euca Laundry Powder 10KG EcoBox – Concentrated Plant-Based Laundry Powder  Pure Eucalyptus  Powerful Stain Removal  Front & Top Loader  500 Washes  Australian Made,1,$43.16,10%,HDWB,PAID
D2Jh3RjmC,D2Jh3RjmC,25 May 2026  12:13:22 AM GMT,25 May 2026  12:13:22 AM GMT,61005625025,B0FQP898JB,544N5,Euca Smell Expell Herbal Heavy Duty Odour Eliminator - 5 Litre  Commercial Grade Natural Deodoriser & Disinfectant Cleaner  High-Concentrate  Herbal  For Pets  Drains  Bins & Floors,1,$16.42,10%,HDWB,PAID
D5yq5L11C,D5yq5L11C,21 May 2026  4:24:23 AM GMT,21 May 2026  4:24:23 AM GMT,61005625025,B07KG4LLR9,379XREF,Euca DishWash Powder 8KG EcoBox - Pure Eucalyptus Powered - Added Rinse Aid - Australian Made - Concentrated 400 WASHES,1,$39.50,10%,HDWB,PAID
DFSCx619C,DFSCx619C,21 May 2026  4:24:23 AM GMT,21 May 2026  4:24:23 AM GMT,61005625025,B0B9C77XMT,603C,Eucalyptus Odour Remover Spray 500ml – Natural Deodoriser for Home  Bathroom & Pet Smells – EUCA Smell Expell,1,$4.13,10%,HDWB,PAID
DLvfHr1QC,DLvfHr1QC,21 May 2026  4:24:23 AM GMT,21 May 2026  4:24:23 AM GMT,61005625025,B0GZTXHTLK,589N5,Euca Castile Liquid Soap Unscented 5L – Original Formula Multi-Purpose Natural Soap – Eco Friendly Plant-Based Cleaner for Body  Hands & Home – Grey Water Safe – Vegan Coconut Oil Soap,1,$27.98,10%,HDWB,PAID
DLmFVD1vC,DLmFVD1vC,21 May 2026  4:24:23 AM GMT,21 May 2026  4:24:23 AM GMT,61005625025,B0FQP898JB,544N5,Euca Smell Expell Herbal Heavy Duty Odour Eliminator - 5 Litre  Commercial Grade Natural Deodoriser & Disinfectant Cleaner  High-Concentrate  Herbal  For Pets  Drains  Bins & Floors,1,$16.42,10%,HDWB,PAID
D5gdDV7SC,D5gdDV7SC,20 May 2026  12:06:02 AM GMT,20 May 2026  12:06:02 AM GMT,61005625025,B0FQPNT8DF,265C,Euca Lift It Cleaner 500 ml,2,$13.50,10%,HDWB,PAID
D8R0sH7VC,D8R0sH7VC,20 May 2026  12:05:58 AM GMT,20 May 2026  12:05:58 AM GMT,61005625025,B07J25QVMF,544C,Euca Smell Expell Herbal Heavy Duty Odour Eliminator 500ml Spray  4-in-1 Disinfectant  Deodoriser & Surface Cleaner  Natural Botanical Fragrance  Pet Odour & Bin Sanitiser  Australian Made,2,$8.36,10%,HDWB,PAID
DKSFcX7yC,DKSFcX7yC,20 May 2026  12:05:55 AM GMT,20 May 2026  12:05:55 AM GMT,61005625025,B0B61FMHM3,659C,Euca Mould Remover 500ml – Non-Toxic & Bleach-Free  Multi-use  Effective Mould Elimination  Safe on Multiple Surfaces  Prevents Future Growth  With Added Clove Oil,1,$6.27,10%,HDWB,PAID
D81YsT7VC,D81YsT7VC,20 May 2026  12:05:52 AM GMT,20 May 2026  12:05:52 AM GMT,61005625025,B0G3XD8ZTN,380XREF,Euca DishWash Powder 8KG EcoBox - Peppermint Powered - Added Rinse Aid - Australian Made - Concentrated 400 WASHES,2,$79.00,10%,HDWB,PAID
DpvYyj7hC,DpvYyj7hC,20 May 2026  12:05:29 AM GMT,20 May 2026  12:05:29 AM GMT,61005625025,B0G3XGWTFF,004L,Euca Laundry Liquid – Concentrated Plant-Based Laundry Liquid  Powerful Stain Remover  Natural Eucalyptus Oil  Front & Top Load Washing Machine  Gentle on Skin  Australian Made 1L,1,$5.80,10%,HDWB,PAID
DLMCB97HC,DLMCB97HC,20 May 2026  12:05:21 AM GMT,20 May 2026  12:05:21 AM GMT,61005625025,B077XPQ13G,106V,Euca Laundry Powder 10KG Pure Eucalyptus Powered for Front & Top Loader - Australian Made - Value Size 500 Washes,1,$49.40,10%,HDWB,PAID
